Ref,year,species,speciesOTT,Group,par.path,Genome.Size.Mb,HCN,MapLength.cM,Sexual.sys,Ref.number,RR.cM.Mb
Montoya,2013,Elaeis_oleifera,Elaeis_oleifera_ott210313,Plants,n,1402.73,16,1485,NA,119,1.058649918
Mott,2011,Elymus_lanceolatus,Elymus_lanceolatus_ott173152,Plants,n,8244.54,14,2574,NA,120,0.312206624
Dor,2014,Epinephelus_aeneus,Epinephelus_aeneus_ott306171,Animals,n,1075.8,24,969.5,hermaphrodite,121,0.901189812
Swinburne,2006,Equus_caballus,Equus_caballus_ott1068218,Animals,n,3149.16,32,2772,gonochorous,122,0.880234729
Zheng,2013,Eremochloa_ophiuroides,Eremochloa_ophiuroides_ott843929,Plants,n,811.74,9,623.6,NA,123,0.768226279
Fukuda,2016,Eriobotrya_japonica,Eriobotrya_japonica_ott207983,Plants,n,762.84,17,1036,NA,124,1.358082953
Cui,2015,Eriocheir_sinensis,Eriocheir_sinensis_ott566723,Animals,n,1680,73,5125.53,gonochorous,125,3.050910714
RONDEAU,2014,Esox_lucius,Esox_lucius_ott739941,Animals,n,1095.36,25,1289.3,gonochorous,126,1.177055945
Agrama,2002,Eucalyptus_camaldulensis,Eucalyptus_camaldulensis_ott505234,Plants,n,606.36,11,1236,NA,127,2.038393034
Hudson,2012,Eucalyptus_grandis,Eucalyptus_grandis_ott40959,Plants,n,591.5922,11,1107,NA,128,1.871221426
Li,2015,Eucalyptus_tereticornis,Eucalyptus_tereticornis_ott173799,Plants,n,586.8,11,1241.4,NA,129,2.115541922
Li,2015,Eucalyptus_urophylla,Eucalyptus_urophylla_ott1049231,Plants,n,595.602,11,1208.5,NA,130,2.029039526
Li,2014,Eucommia_ulmoides,Eucommia_ulmoides_ott743836,Plants,n,723.72,17,2133,NA,131,2.947272426
Yabe,2014,Fagopyrum_esculentum,Fagopyrum_esculentum_ott904381,Plants,n,1359.4,8,1574.3,NA,132,1.158084449
Li,2016,Felis_silvestris,Felis_silvestris_ott563163,Animals,n,2894.88,19,4464,gonochorous,133,1.54203283
Wang,2012,Fenneropenaeus_chinensis,Festuca_arundinacea_ott105576,Animals,n,1660,44,1895.795,gonochorous,134,1.142045181
Dierking,2015,Festuca_arundinacea,Festuca_rubra_ott202297,Plants,n,4185.84,21,1417.5,NA,135,0.338641706
Backstrom,2008,Ficedula_albicollis,Ficedula_albicollis_ott107840,Animals,n,1118.34,30,1787,gonochorous,136,1.597904036
Mahoney,2016,Fragaria_iinumae,Fragaria_iinumae_ott555467,Plants,n,199.628,7,451.7,NA,137,2.262708638
Davik,2015,Fragaria_vesca,Fragaria_vesca_ott852873,Plants,n,214.373,7,416.2,NA,138,1.941475839
Sargent,2016,Fragaria_xananassa,Fusarium_circinatum_FSP_34_ott75556,Plants,n,697.762,28,1820,NA,139,2.608339233
DeVos,2007,Fusarium_circinatum,Fusarium_graminearum_CS3005_ott5726284,Fungi,y,43.9486,11,2774.4,parthenogenic,140,63.12829078
Lee,2008,Fusarium_graminearum,Fusarium_verticillioides_7600_ott966934,Fungi,y,36.458,4,1140,parthenogenic,141,31.26885732
Teunissen,2003,Fusarium_oxysporum,Fusarium_oxysporum_f.sp._conglutinans_ott5481360,Fungi,n,61.3869,15,86,parthenogenic,142,1.400950366
Jurgenson,2002,Fusarium_verticillioides,Fusarium_verticillioides_ott966934,Fungi,y,41.8449,11,2188,parthenogenic,143,52.28833143
Hubert,2010,Gadus_morhua,Gadus_morhua_ott114170,Animals,n,909.54,23,1421.92,gonochorous,144,1.56333971
Pengelly,2016,Gallus_gallus,Gallus_gallus_ott153563,Animals,n,1230.26,35,2762.2,gonochorous,145,2.245216458
Rastas,2016,Gasterosteus_aculeatus,Gasterosteus_aculeatus_ott401066,Animals,n,625.92,22,1980.74,gonochorous,146,3.164525818
Nakatsuka,2012,Gentiana_scabra,Gentiana_scabra_ott717875,Plants,n,5000,13,613.7,NA,147,0.12274
vanderVoort,1999,Globodera_rostochiensis,Globodera_rostochiensis_ott232963,Animals,y,95.8763,9,431,gonochorous,148,4.495375812
Song,2016,Glycine_max,Glycine_max_ott681762,Plants,n,1105.14,20,2445.8,NA,149,2.213113271
Shi,2016,Gossypium_barbadense,Gossypium_barbadense_ott854476,Plants,n,2694.39,26,5115.6,NA,150,1.89861156
Jia,2016,Gossypium_hirsutum,Gossypium_hirsutum_ott854480,Plants,n,2347.2,26,4071.98,NA,151,1.734824472
Wang,2013,Gossypium_raimondii,Gossypium_raimondii_ott79347,Plants,n,1101.228,13,2325,NA,152,2.111279408
Hou,2013,Gossypium_tomentosum,Gossypium_tomentosum_ott733231,Plants,n,2386.32,26,3320.8,NA,153,1.39159878
Ren,2016,Haliotis_diversicolor,Haliotis_diversicolor_ott780542,Animals,n,1418.1,16,2190.1,NA,154,1.544390381
Vervalle,2013,Haliotis_midae,Haliotis_midae_ott780532,Animals,n,1398.54,18,1038,NA,155,0.742202583
Henning,2017,Haplochromis_chilotes,Haplochromis_chilotes_ott138490,Animals,n,1075.8,22,1225.68,NA,156,1.139319576
Henning,2014,Haplochromis_sauvagei,Haplochromis_sauvagei_ott685068,Animals,n,1075.8,22,1130.63,NA,157,1.050966722
Celik,2016,Helianthus_annuus,Helianthus_annuus_ott515712,Plants,n,2376.54,17,2472,NA,158,1.040167639
Davey,2016,Heliconius_melpomene,Heliconius_melpomene_ott896444,Animals,n,293.4,21,1364.23,gonochorous,159,4.649727335
Atibalentja,2005,Heterodera_glycines,Heterodera_glycines_ott332065,Animals,y,81.908,9,539,gonochorous,160,6.580553792
Shearman,2015,Hevea_brasiliensis,Hevea_brasiliensis_ott339361,Plants,n,2102.7,18,4160,NA,161,1.978408713
Chen,2011,Hibiscus_cannabinus,Hibiscus_cannabinus_ott393745,Plants,n,1496.34,18,4924.8,NA,162,3.291230603
Shirasawa,2015,Hieracium_,Hieracium_mixtum_ott711719,Plants,n,4058.7,18,1650,NA,163,0.406534112
Palaiokostas,2013,Hippoglossus_hippoglossus,Hippoglossus_hippoglossus_ott408328,Animals,n,713.94,24,1514,gonochorous,164,2.120626383
Zhou,2016,Hordeum_vulgare,Hordeum_vulgare_ott657948,Plants,n,5418.1,7,927.07,NA,165,0.171106107
Henning,2015,Humulus_lupulus,Humulus_lupulus_ott84020,Plants,n,2836.2,10,745.9,NA,166,0.262992737
Brelsford,2016,Hyla_aborea,Hyla_arborea_ott677266,Animals,n,4649.69,12,1770.722,gonochorous,167,0.380825818
Guo,2013,Hypophthalmichthys_molitrix,Hypophthalmichthys_molitrix_ott35786,Animals,n,978,24,1561.1,gonochorous,168,1.596216769
Bai,2016,Hyriopsis_cumingii,Hyriopsis_cumingii_ott351029,Animals,n,3000,19,2713,NA,169,0.904333333
Liu,2016,Ictalurus_punctatus,Ictalurus_punctatus_ott701523,Animals,n,993.648,29,3240,gonochorous,170,3.260712043
Zhao,2013,Ipomoea_batatas,Ipomoea_batatas_ott1071040,Plants,n,1833.75,90,8184.5,NA,171,4.46325835
Ullmann,2003,Ixodes_scapularis,Ixodes_scapularis_ott621065,Animals,n,1765.38,15,616,gonochorous,172,0.348933374
Wu,2015,Jatropha_curcas,Jatropha_curcas_ott916001,Plants,n,420.54,11,1655.8,NA,173,3.937318685
Zhu,2015,Juglans_regia,Juglans_regia_ott138717,Plants,n,606.36,16,2457.82,NA,174,4.05340062
