ref_id,doi,doi_url,authors,n_authors,year,title,journal,journal_normalized,journal_abbrev,volume,issue,pages,publisher,issn,publication_type,crossref_citation_count,si_ref_number,si_first_author,si_year,citation_verbatim,match_confidence,match_title_score,match_author_score,manual_review,review_note,flag_year_mismatch,flag_author_list_incomplete,flag_no_doi
chancerel2013,10.1186/1741-7007-11-50,https://doi.org/10.1186/1741-7007-11-50,"Chancerel, Emilie; Lamy, Jean-Baptiste; Lesur, Isabelle; Noirot, Céline; Klopp, Christophe; Ehrenmann, François; Boury, Christophe; Provost, Grégoire Le; Label, Philippe; Lalanne, Céline; Léger, Valérie; Salin, Franck; Gion, Jean-Marc; Plomion, Christophe",14.0,2013,High-density linkage mapping in a pine tree reveals a genomic region associated with inbreeding depression and provides clues to the extent and distribution of meiotic recombination,BMC Biology,BMC Biology,BMC Biol,11,1,,Springer Science and Business Media LLC,1741-7007,journal-article,59.0,260.0,Chancerel,2013.0,"Chancerel, E., J. B. Lamy, I. Lesur, C. Noirot, C. Klopp, F. Ehrenmann, C. Boury, G. Le Provost, P. Label, C. Lalanne, V. Leger, F. Salin, J. M. Gion, and C. Plomion. 2013. High-density linkage mapping in a pine tree reveals a genomic region associated with inbreeding depression and provides clues to",high,100.0,100.0,,,False,False,False
moragasuazo2014,10.1007/s00468-014-1090-2,https://doi.org/10.1007/s00468-014-1090-2,"Moraga-Suazo, P.; Orellana, L.; Quiroga, P.; Balocchi, C.; Sanfuentes, E.; Whetten, R. W.; Hasbún, R.; Valenzuela, S.",8.0,2014,Development of a genetic linkage map for Pinus radiata and detection of pitch canker disease resistance associated QTLs,Trees,Trees,Trees,28,6,1823-1835,Springer Science and Business Media LLC,0931-1890,journal-article,17.0,261.0,Moraga-Suazo,2014.0,"Moraga-Suazo, P., L. Orellana, P. Quiroga, C. Balocchi, E. Sanfuentes, R. W. Whetten, R. Hasbun, and S. Valenzuela. 2014. Development of a genetic linkage map for Pinus radiata and detection of pitch canker disease resistance associated QTLs. Trees-Structure and Function 28:1823-1835.",high,100.0,100.0,,,False,False,False
westbrook2015,10.1534/g3.115.019588,https://doi.org/10.1534/g3.115.019588,"Westbrook, Jared W; Chhatre, Vikram E; Wu, Le-Shin; Chamala, Srikar; Neves, Leandro Gomide; Muñoz, Patricio; Martínez-García, Pedro J; Neale, David B; Kirst, Matias; Mockaitis, Keithanne; Nelson, C Dana; Peter, Gary F; Davis, John M; Echt, Craig S",14.0,2015,A Consensus Genetic Map for Pinus taeda and Pinus elliottii and Extent of Linkage Disequilibrium in Two Genotype-Phenotype Discovery Populations of Pinus taeda,G3 Genes|Genomes|Genetics,G3: Genes|Genomes|Genetics,,5,8,1685-1694,Oxford University Press (OUP),2160-1836,journal-article,41.0,262.0,Westbrook,2015.0,"Westbrook, J. W., V. E. Chhatre, L. S. Wu, S. Chamala, L. G. Neves, P. Munoz, P. J. Martinez-Garcia, D. B. Neale, M. Kirst, K. Mockaitis, C. D. Nelson, G. F. Peter, J. M. Davis, and C. S. Echt. 2015. A Consensus Genetic Map for Pinus taeda and Pinus elliottii and Extent of Linkage Disequilibrium in Two Genotype-Phenotype Discovery Populations of Pinus taeda. G3-Genes",high,100.0,100.0,,,False,False,False
boutet2016,10.1186/s12864-016-2447-2,https://doi.org/10.1186/s12864-016-2447-2,"Boutet, Gilles; Alves Carvalho, Susete; Falque, Matthieu; Peterlongo, Pierre; Lhuillier, Emeline; Bouchez, Olivier; Lavaud, Clément; Pilet-Nayel, Marie-Laure; Rivière, Nathalie; Baranger, Alain",10.0,2016,SNP discovery and genetic mapping using genotyping by sequencing of whole genome genomic DNA from a pea RIL population,BMC Genomics,BMC Genomics,BMC Genomics,17,1,,Springer Science and Business Media LLC,1471-2164,journal-article,86.0,263.0,Boutet,2016.0,"Boutet, G., S. A. Carvalho, M. Falque, P. Peterlongo, E. Lhuillier, O. Bouchez, C. Lavaud, M. L. Pilet-Nayel, N. Riviere, and A. Baranger. 2016. SNP discovery and genetic mapping using genotyping by sequencing of whole genome genomic DNA from a pea RIL population. Bmc Genomics 17.",high,100.0,100.0,,,False,False,False
martinello2005,,,"Martinelli, A., P. Hunt, R. Fawcett, P. V. L. Cravo, D. Walliker, and R. Carter",,2005,An AFLP-based genetic linkage map of Plasmodium chabaudi,,,,,,,,,journal-article,,264.0,Martinello,2005.0,"Martinelli, A., P. Hunt, R. Fawcett, P. V. L. Cravo, D. Walliker, and R. Carter. 2005. An AFLP-based genetic linkage map of Plasmodium chabaudi",unresolved,,,reject,"Matched a CABI species compendium page, not the Martinello AFLP map paper. Citation truncated in the PDF. Note: first author is Martinelli, A. in the citation but recorded as ""Martinello"" in the data file.",False,False,True
jiang2011,10.1186/gb-2011-12-4-r33,https://doi.org/10.1186/gb-2011-12-4-r33,"Jiang, Hongying; Li, Na; Gopalan, Vivek; Zilversmit, Martine M; Varma, Sudhir; Nagarajan, Vijayaraj; Li, Jian; Mu, Jianbing; Hayton, Karen; Henschen, Bruce; Yi, Ming; Stephens, Robert; McVean, Gilean; Awadalla, Philip; Wellems, Thomas E; Su, Xin-zhuan",16.0,2011,High recombination rates and hotspots in a Plasmodium falciparum genetic cross,Genome Biology,Genome Biology,Genome Biol,12,4,,Springer Science and Business Media LLC,1474-760X,journal-article,100.0,265.0,Jiang,2011.0,"Jiang, H. Y., N. Li, V. Gopalan, M. M. Zilversmit, S. Varma, V. Nagarajan, J. Li, J. B. Mu, K. Hayton, B. Henschen, M. Yi, R. Stephens, G. McVean, P. Awadalla, T. E. Wellems, and X. Z. Su. 2011. High recombination rates and hotspots in a Plasmodium falciparum genetic cross. Genome Biology 12.",high,100.0,100.0,,,False,False,False
tripathi2009,10.1098/rspb.2008.1930,https://doi.org/10.1098/rspb.2008.1930,"Tripathi, Namita; Hoffmann, Margarete; Willing, Eva-Maria; Lanz, Christa; Weigel, Detlef; Dreyer, Christine",6.0,2009,"Genetic linkage map of the guppy,Poecilia reticulata, and quantitative trait loci analysis of male size and colour variation",Proceedings of the Royal Society B: Biological Sciences,Proceedings of the Royal Society B: Biological Sciences,Proc. R. Soc. B.,276,1665,2195-2208,The Royal Society,0962-8452,journal-article,87.0,266.0,Tripathi,2009.0,"Tripathi, N., M. Hoffmann, E. M. Willing, C. Lanz, D. Weigel, and C. Dreyer. 2009. Genetic linkage map of the guppy, Poecilia reticulata, and quantitative trait loci analysis of male size and colour variation. Proceedings of the Royal",high,100.0,100.0,,,False,False,False
sirvio2010,10.1111/j.1558-5646.2010.01170.x,https://doi.org/10.1111/j.1558-5646.2010.01170.x,"Sirviö, Anu; Pamilo, Pekka; Johnson, Robert A.; Page Jr., Robert E.; Gadau, Jürgen",5.0,2010,ORIGIN AND EVOLUTION OF THE DEPENDENT LINEAGES IN THE GENETIC CASTE DETERMINATION SYSTEM OF POGONOMYRMEX ANTS,Evolution,Evolution,,65,3,869-884,Oxford University Press (OUP),0014-3820,journal-article,36.0,267.0,Sirvio,2011.0,"Sirvio, A., P. Pamilo, R. A. Johnson, R. E. Page, and J. Gadau. 2011. ORIGIN AND EVOLUTION OF THE DEPENDENT LINEAGES IN THE GENETIC CASTE DETERMINATION SYSTEM OF POGONOMYRMEX ANTS.",high,100.0,90.9090909090909,,,True,False,False
wang2009c,10.1007/s10681-009-0085-3,https://doi.org/10.1007/s10681-009-0085-3,"Wang, Yuanxiu; Sun, Xiaoyan; Tan, Biyue; Zhang, Bo; Xu, Li-an; Huang, Minren; Wang, Mingxiu",7.0,2009,A genetic linkage map of Populus adenopoda Maxim. × P. alba L. hybrid based on SSR and SRAP markers,Euphytica,Euphytica,Euphytica,173,2,193-205,Springer Science and Business Media LLC,0014-2336,journal-article,24.0,268.0,Wang,2010.0,"Wang, Y. X., X. Y. Sun, B. Y. Tan, B. Zhang, L. A. Xu, M. R. Huang, and M. X. Wang. 2010. A genetic linkage map of Populus adenopoda Maxim. x P. alba L. hybrid based on SSR and SRAP markers. Euphytica 173:193-205.",high,100.0,100.0,,,True,False,False
paolucci2010,10.1007/s11295-010-0297-7,https://doi.org/10.1007/s11295-010-0297-7,"Paolucci, Isabella; Gaudet, Muriel; Jorge, Véronique; Beritognolo, Isacco; Terzoli, Serena; Kuzminsky, Elena; Muleo, Rosario; Scarascia Mugnozza, Giuseppe; Sabatti, Maurizio",9.0,2010,Genetic linkage maps of Populus alba L. and comparative mapping analysis of sex determination across Populus species,Tree Genetics & Genomes,Tree Genetics & Genomes,Tree Genetics & Genomes,6,6,863-875,Springer Science and Business Media LLC,1614-2942,journal-article,90.0,269.0,Paolucci,2010.0,"Paolucci, I., M. Gaudet, V. Jorge, I. Beritognolo, S. Terzoli, E. Kuzminsky, R. Muleo, G. S. Mugnozza, and M. Sabatti. 2010. Genetic linkage maps of Populus alba L. and comparative mapping analysis of sex determination across Populus species. Tree Genetics & Genomes 6:863-875.",high,100.0,100.0,,,False,False,False
mousavi2016,10.1186/s12864-016-3003-9,https://doi.org/10.1186/s12864-016-3003-9,"Mousavi, Mohaddeseh; Tong, Chunfa; Liu, Fenxiang; Tao, Shentong; Wu, Jiyan; Li, Huogen; Shi, Jisen",7.0,2016,De novo SNP discovery and genetic linkage mapping in poplar using restriction site associated DNA and whole-genome sequencing technologies,BMC Genomics,BMC Genomics,BMC Genomics,17,1,,Springer Science and Business Media LLC,1471-2164,journal-article,38.0,270.0,Mousavi,2016.0,"Mousavi, M., C. F. Tong, F. X. Liu, S. T. Tao, J. Y. Wu, H. G. Li, and J. S. Shi. 2016. De novo SNP discovery and genetic linkage mapping in poplar using restriction site associated DNA and whole-genome sequencing technologies.",high,100.0,100.0,,,False,False,False
gaudet2008,,,"Gaudet, M., V. Jorge, I. Paolucci, I. Beritognolo, G. S. Mugnozza, and M. Sabatti",,2008,"Genetic linkage maps of Populus nigra L. including AFLPs, SSRs, SNPs, and sex trait",Tree Genetics & Genomes,Tree Genetics & Genomes,,4,,25-36,,,journal-article,,271.0,Gaudet,2008.0,"Gaudet, M., V. Jorge, I. Paolucci, I. Beritognolo, G. S. Mugnozza, and M. Sabatti. 2008. Genetic linkage maps of Populus nigra L. including AFLPs, SSRs, SNPs, and sex trait. Tree Genetics & Genomes 4:25-36.",unresolved,,,,,False,False,True
